OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
51;sandwich;16;SingleErrorsForEveryBlock;10;Simple;1280;1109;45793;6500
46;sandwich;10;SingleErrorsForEveryBlock;10;Simple;800;733;46093;6500
52;sandwich;16;SingleErrorsForEveryBlock;16;Simple;1312;1112;46050;6500
47;sandwich;10;SingleErrorsForEveryBlock;16;Simple;820;725;45537;6500
64;sandwich;1;GroupErrorsForEveryBlock;32;Extended;88;0;578;6500
65;sandwich;1;GroupErrorsForEveryBlock;40;Extended;91;1;602;6500
66;sandwich;2;GroupErrorsForEveryBlock;10;Extended;160;0;499;6500
67;sandwich;2;GroupErrorsForEveryBlock;16;Extended;164;0;545;6500
68;sandwich;2;GroupErrorsForEveryBlock;24;Extended;170;0;571;6500
69;sandwich;2;GroupErrorsForEveryBlock;32;Extended;176;0;624;6500
70;sandwich;2;GroupErrorsForEveryBlock;40;Extended;182;0;629;6500
71;sandwich;5;GroupErrorsForEveryBlock;10;Extended;400;1;500;6500
72;sandwich;5;GroupErrorsForEveryBlock;16;Extended;410;1;531;6500
73;sandwich;5;GroupErrorsForEveryBlock;24;Extended;425;1;551;6500
53;sandwich;16;SingleErrorsForEveryBlock;24;Simple;1360;1125;49787;6500
74;sandwich;5;GroupErrorsForEveryBlock;32;Extended;440;0;645;6500
75;sandwich;5;GroupErrorsForEveryBlock;40;Extended;455;0;670;6500
76;sandwich;10;GroupErrorsForEveryBlock;10;Extended;800;323;508;6500
77;sandwich;10;GroupErrorsForEveryBlock;16;Extended;820;318;554;6500
78;sandwich;10;GroupErrorsForEveryBlock;24;Extended;850;1;632;6500
79;sandwich;10;GroupErrorsForEveryBlock;32;Extended;880;0;559;6500
80;sandwich;10;GroupErrorsForEveryBlock;40;Extended;910;0;637;6500
81;sandwich;16;GroupErrorsForEveryBlock;10;Extended;1280;469;522;6500
82;sandwich;16;GroupErrorsForEveryBlock;16;Extended;1312;485;497;6500
83;sandwich;16;GroupErrorsForEveryBlock;24;Extended;1360;475;528;6500
84;sandwich;16;GroupErrorsForEveryBlock;32;Extended;1408;0;569;6500
85;sandwich;16;GroupErrorsForEveryBlock;40;Extended;1456;0;661;6500
86;sandwich;20;GroupErrorsForEveryBlock;10;Extended;1600;579;544;6500
87;sandwich;20;GroupErrorsForEveryBlock;16;Extended;1640;587;546;6500
88;sandwich;20;GroupErrorsForEveryBlock;24;Extended;1700;576;574;6500
89;sandwich;20;GroupErrorsForEveryBlock;32;Extended;1760;593;619;6500
90;sandwich;20;GroupErrorsForEveryBlock;40;Extended;1820;0;680;6500
91;sandwich;1;SingleErrorsForEveryBlock;10;Extended;80;0;506;6500
92;sandwich;1;SingleErrorsForEveryBlock;16;Extended;82;0;548;6500
93;sandwich;1;SingleErrorsForEveryBlock;24;Extended;85;1;586;6500
94;sandwich;1;SingleErrorsForEveryBlock;32;Extended;88;1;603;6500
95;sandwich;1;SingleErrorsForEveryBlock;40;Extended;91;1;655;6500
96;sandwich;2;SingleErrorsForEveryBlock;10;Extended;160;1;518;6500
97;sandwich;2;SingleErrorsForEveryBlock;16;Extended;164;0;599;6500
98;sandwich;2;SingleErrorsForEveryBlock;24;Extended;170;1;551;6500
99;sandwich;2;SingleErrorsForEveryBlock;32;Extended;176;1;602;6500
100;sandwich;2;SingleErrorsForEveryBlock;40;Extended;182;0;717;6500
54;sandwich;16;SingleErrorsForEveryBlock;32;Simple;1408;1087;49153;6500
55;sandwich;16;SingleErrorsForEveryBlock;40;Simple;1456;1102;36352;6500
56;sandwich;20;SingleErrorsForEveryBlock;10;Simple;1600;1380;34914;6500
