OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
21;whiteSquare;1;SingleErrorsForEveryBlock;10;Simple;99;92;52619;8100
7;whiteSquare;2;GroupErrorsForEveryBlock;24;Simple;210;120;50175;8100
22;whiteSquare;1;SingleErrorsForEveryBlock;16;Simple;102;94;54571;8100
8;whiteSquare;2;GroupErrorsForEveryBlock;32;Simple;218;118;52488;8100
23;whiteSquare;1;SingleErrorsForEveryBlock;24;Simple;105;89;50201;8100
24;whiteSquare;1;SingleErrorsForEveryBlock;32;Simple;109;94;50860;8100
9;whiteSquare;5;GroupErrorsForEveryBlock;10;Simple;495;225;54701;8100
25;whiteSquare;2;SingleErrorsForEveryBlock;10;Simple;198;189;56163;8100
10;whiteSquare;5;GroupErrorsForEveryBlock;16;Simple;510;227;55043;8100
11;whiteSquare;5;GroupErrorsForEveryBlock;24;Simple;525;205;53813;8100
26;whiteSquare;2;SingleErrorsForEveryBlock;16;Simple;204;187;57810;8100
12;whiteSquare;5;GroupErrorsForEveryBlock;32;Simple;545;218;56521;8100
27;whiteSquare;2;SingleErrorsForEveryBlock;24;Simple;210;193;59104;8100
13;whiteSquare;10;GroupErrorsForEveryBlock;10;Simple;990;386;57202;8100
28;whiteSquare;2;SingleErrorsForEveryBlock;32;Simple;218;183;57800;8100
14;whiteSquare;10;GroupErrorsForEveryBlock;16;Simple;1020;395;57248;8100
29;whiteSquare;5;SingleErrorsForEveryBlock;10;Simple;495;460;57485;8100
15;whiteSquare;10;GroupErrorsForEveryBlock;24;Simple;1050;384;57121;8100
30;whiteSquare;5;SingleErrorsForEveryBlock;16;Simple;510;473;59792;8100
16;whiteSquare;10;GroupErrorsForEveryBlock;32;Simple;1090;382;56771;8100
31;whiteSquare;5;SingleErrorsForEveryBlock;24;Simple;525;453;60476;8100
17;whiteSquare;16;GroupErrorsForEveryBlock;10;Simple;1584;573;53977;8100
32;whiteSquare;5;SingleErrorsForEveryBlock;32;Simple;545;455;52528;8100
33;whiteSquare;10;SingleErrorsForEveryBlock;10;Simple;990;885;43697;8100
34;whiteSquare;10;SingleErrorsForEveryBlock;16;Simple;1020;891;44317;8100
35;whiteSquare;10;SingleErrorsForEveryBlock;24;Simple;1050;902;45443;8100
36;whiteSquare;10;SingleErrorsForEveryBlock;32;Simple;1090;887;47485;8100
37;whiteSquare;16;SingleErrorsForEveryBlock;10;Simple;1584;1370;45150;8100
38;whiteSquare;16;SingleErrorsForEveryBlock;16;Simple;1632;1388;47619;8100
39;whiteSquare;16;SingleErrorsForEveryBlock;24;Simple;1680;1374;50854;8100
40;whiteSquare;16;SingleErrorsForEveryBlock;32;Simple;1744;1394;51057;8100
41;graySquare;1;GroupErrorsForEveryBlock;10;Extended;99;0;601;8100
42;graySquare;1;GroupErrorsForEveryBlock;16;Extended;102;0;592;8100
43;graySquare;1;GroupErrorsForEveryBlock;24;Extended;105;0;634;8100
44;graySquare;1;GroupErrorsForEveryBlock;32;Extended;109;0;632;8100
